BIC;Name
GENODED1MBU;VOLKSBANK MEERBUSCH
GENODED1MKA;VOLKSBANK MUELHEIM-KAERLICH EG
GENODED1MLW;RAIFFEISENBANK MEHRING-LEIWEN EG
GENODED1MNH;RAIFFEISENBANK RHEIN-BERG EG
GENODED1MOK;RAIFFEISENBANK MOSELKRAMPEN EG
GENODED1MPO;VR BANK RHEIN-MOSEL EG
GENODED1MRB;VOLKSBANK MOENCHENGLADBACH EG
GENODED1MRW;RAIFFEISENBANK MITTELRHEIN EG
GENODED1MUC;RAIFFEISENBANK MUCH-RUPPICHTEROTH EG
GENODED1NBL;RAIFFEISENBANK NEUERBURG-LAND EG
GENODED1NFB;RAIFFEISENBANK EG
GENODED1NKR;VOLKSBANK SCHWALMTAL EG
GENODED1NLD;VR-BANK EG
GENODED1NRH;VOLKSBANK NIEDERRHEIN EG
GENODED1NSS;VOLKSBANK DUESSELDORF NEUSS
GENODED1NWD;VR-BANK NEUWIED-LINZ EG
GENODED1OSE;RAIFFEISENBANK OESTLICHE SUEDEIFEL EG
GENODED1PAF;VR-BANK EG BERGISCH GLADBACH-LEVERKUSEN
GENODED1PAX;PAX-BANK EG
GENODED1PA1;PAX-BANK EG
GENODED1PA2;PAX-BANK EG
GENODED1PA3;PAX-BANK EG
GENODED1PA4;PAX-BANK EG
GENODED1PA5;PAX-BANK EG
GENODED1PA6;PAX-BANK EG
GENODED1PA7;PAX-BANK EG, GF MHD
GENODED1PRU;VOLKSBANK EIFEL MITTE EG
GENODED1RBC;RAIFFEISENBANK VOREIFEL EG
GENODED1RBO;VOLKSBANK RHEINBOELLEN EG
GENODED1RKI;RITTERSCHAFTLICHES KREDITINSTITUT
GENODED1RKO;VOLKSBANK BERG EG
GENODED1RLW;VOLKSBANK RHEIN-LIPPE EG
GENODED1RSC;RAIFFEISEN-BANK ESCHWEILER EG
GENODED1RST;VR-BANK RHEIN-SIEG EG
GENODED1RWL;VR-BANK EG BERGISCH GLADBACH-LEVERKUSEN
GENODED1SAM;RAIFFEISENBANK SANKT AUGUSTIN EG
GENODED1SEG;RAIFFEISENBANK EG HEINSBERG
GENODED1SLE;VR-BANK NORDEIFEL EG
GENODED1SMR;RAIFFEISENBANK EG
GENODED1SPE;SPARDA-BANK WEST EG
GENODED1SPK;SPARDA-BANK WEST EG
GENODED1SPW;SPARDA-BANK WEST EG
GENODED1SRB;VOLKSBANK SAARBURG EG
GENODED1SRH;RAIFFEISENBANK STRASSENHAUS EG
GENODED1STB;STEYLER BANK
GENODED1TVB;VOLKSBANK TRIER EG
GENODED1UMO;RAIFFEISENBANK UNTERMOSEL EG
GENODED1VRR;VOLKSBANK RHEIN-RUHR EG
GENODED1VSN;VOLKSBANK VIERSEN EG
GENODED1WIL;VOLKSBANK OBERBERG EG
GENODED1WLG;RAIFFEISENBANK WELLING EG
GENODED1WND;ROSBACHER RAIFFEISENBANK EG
GENODED1WPF;VOLKSBANK WIPPERFUERTH-LINDLAR EG
GENODED1WSC;RAIFFEISENBANK WESTEIFEL EG
GENODED1WSL;RAIFFEISENBANK WESSELING EG
GENODED1WTL;VEREINIGTE VOLKSBANK RAIFFEISENBANK EG
GENODED1WUR;VR-BANK EG
GENODED1WVI;VOLKSBANK WACHTBERG EG
GENODEFF;DZ BANK AG DEUTSCHE ZENTRAL GENOSSENSCHAFTSBANK
GENODEF1ABS;RAIFFEISENBANK KREIS KELHEIM EG
GENODEF1AB1;RAIFFEISEN-VOLKSBANK ASCHAFFENBURG EG
GENODEF1AB2;RAIFFEISEN-VOLKSBANK ASCHAFFENBURG EG
GENODEF1ADE;VOLKSBANK EG ADELEBSEN
GENODEF1ADZ;RAIFFEISENBANK ADELZHAUSEN EG
GENODEF1AGE;RAIFFEISENBANK ANGER EG
GENODEF1AIB;RAIFFEISENBANK MANGFALLTAL EG
GENODEF1AIG;RAIFFEISENBANK AIGLSBACH EG
GENODEF1AIL;RAIFFEISENBANK AINDLING EG
GENODEF1AIT;RAIFFEISENBANK AITRANG-RUDERATSHOFEN
GENODEF1ALH;BANKVEREIN BEBRA ZW EG
GENODEF1ALK;RAIFFEISENBANK OBERMAIN NORD EG
GENODEF1ALX;RAIFFEISENBANK ALXING-BRUCK EG
GENODEF1ALZ;VR-BANK EG
GENODEF1AMV;VOLKSBANK-RAIFFEISENBANK AMBERG EG
GENODEF1ANK;VOLKSBANK VORPOMMERN EG
GENODEF1ANS;VR-BANK MITTELFRANKEN WEST EG
GENODEF1AOE;VR MEINE RAIFFEISENBANK EG
GENODEF1APE;VOLKSBANK GEEST EG
GENODEF1ARF;RAIFFEISENBANK ARNSTORF EG
GENODEF1ARH;RAIFFEISENBANK ARESING-HOERZHAUSEN EG
GENODEF1ASG;RAIFFEISEN-VOLKSBANK EBERSBERG EG
GENODEF1AST;VOLKSBANK EG AHLERSTEDT
GENODEF1ASU;RAIFFEISENBANK ASCHAU-SAMERBERG EG
GENODEF1ATE;VR-BANK SCHWEINFURT EG
GENODEF1AUB;VR BANK AUGSBURG-OSTALLGAEU EG
GENODEF1AUO;RAIFFEISENBANK AUERBACH-FREIHUNG EG
GENODEF1AUS;RAIFFEISENBANK SONNENWALD EG
GENODEF1AZR;RAIFFEISENBANK AUMA-ZEULENRODA EG
GENODEF1BAG;RAIFFEISEN-VOLKSBANK ASCHAFFENBURG EG
GENODEF1BAM;VOLKSBANK BAKUM EG
GENODEF1BAR;VOLKSBANK RAIFFEISENBANK EG
GENODEF1BA2;VR BANK BAMBERG-FORCHHEIM EG VOLKS-RAIFFEISENBANK
GENODEF1BBG;VOLKSBANK BERNBURG EG
GENODEF1BBH;VOLKSBANK OBERGRAFSCHAFT EG
GENODEF1BBR;VR BANK IN HOLSTEIN EG
GENODEF1BBT;RAIFFEISENBANK MITTELSCHWABEN EG
GENODEF1BCH;RAIFFEISENBANK BUECHEN EG
GENODEF1BCK;VOLKSBANK IN SCHAUMBURG EG
GENODEF1BDS;VR BANK NORD EG
GENODEF1BEB;BANKVEREIN BEBRA EG
GENODEF1BEH;RAIFFEISENBANK BECHHOFEN EG
GENODEF1BEV;VOLKSBANK EG BREMERHAVEN-CUXLAND
GENODEF1BFS;BANK FUER SCHIFFAHRT
GENODEF1BGB;RAIFFEISENBANK BURGEBRACH-STEGAURACH EG
GENODEF1BGL;VOLKSBANK RAIFFEISENBANK OBERBAYERN SUEDOST EG
GENODEF1BGO;RAIFFEISENBANK BERG-BAD STEBEN EG
GENODEF1BHD;RAIFFEISENBANK BUETTHARD-GAUKOENIGSHOFEN EG
GENODEF1BHN;RAIFFEISENBANK BURGHAUN EG
GENODEF1BIB;RAIFFEISENBANK NORDSPESSART EG
GENODEF1BIN;RAIFFEISENBANK BIDINGEN EG
GENODEF1BIR;VR BANK FULDA EG
GENODEF1BKO;RAIFFEISENBANK BRUCHKOEBEL EG
GENODEF1BKW;RAIFFEISEN-VOLKSBANK ODER-SPREE EG
GENODEF1BLF;VR BANK MITTLERE OBERPFALZ
GENODEF1BLG;VOLKSBANK BRAUNLAGE EG
GENODEF1BLN;RAIFFEISENBANK BEILNGRIES EG
GENODEF1BLO;RAIFFEISENBANK PFAFFENHAUSEN EG
GENODEF1BLT;RAIFFEISENBANK SCHWABEN MITTE
GENODEF1BNT;VOLKSBANK DIEPHOLZ-BARNSTORF EG
GENODEF1BOA;VR BANK LEIPZIGER LAND EG
GENODEF1BOG;VOLKSBANK NORDHUEMMLING EG
GENODEF1BOH;VOLKSBANK BOERSSUM-HORNBURG EG
GENODEF1BOI;RAIFFEISENBANK BOBINGEN EG
GENODEF1BOO;RAIFFEISENBANK EG KLEIN KUMMERFELD
GENODEF1BOR;RAIFFEISENBANK EG BORKEN
GENODEF1BOW;VOLKSBANK BORTFELD
GENODEF1BPL;RAIFFEISENBANK PLANKSTETTEN AG
GENODEF1BRB;BRANDENBURGER BANK VOLKSBANK RAIFFEISEN BANK EG
GENODEF1BRG;VOLKSBANK JERICHOWER LAND EG
GENODEF1BRK;VR-BANK BAD KISSINGEN EG
GENODEF1BRN;RAIFFEISENBANK WESERMARSCH-SUED EG
GENODEF1BRV;VOLKSBANK GEESTE-NORD EG
GENODEF1BSB;BANK FUER SCHIFFAHRT EG
GENODEF1BSD;BANK FUER SCHIFFAHRT EG
GENODEF1BSI;RAIFFEISENBANK BISSINGEN EG
GENODEF1BSL;VOLKSBANK BOESEL EG
GENODEF1BST;VEREINIGTE RAIFFEISENBANK BURGSTAEDT EG
GENODEF1BTA;RAIFFEISENBANK EG
GENODEF1BTO;RAIFFEISENBANK OBERFERRIEDEN-BURGTHANN EG
GENODEF1BT1;VOLKSBANK-RAIFFEISENBANK BAYREUTH EG
GENODEF1BUK;RAIFFEISENBANK BRUCK EG
GENODEF1BUM;RAIFFEISENBANK BUTTENHEIM EG
GENODEF1BUR;RAIFFEISENBANK LANGENSCHWARZ -ALT-
GENODEF1BUT;RAIFFEISENBANK BUTJADINGEN-ABBEHAUSEN EG
GENODEF1BVB;BVB VOLKSBANK NDL D FRANKFURTER VOLKSBANK
GENODEF1BVO;VOLKSBANK EG OSTERHOLZ-SCHARMBECK
GENODEF1BWI;RAIFFEISENBANK UNTERES ZUSAMTAL EG
GENODEF1BZS;RAIFFEISENBANK THANNHAUSEN EG
GENODEF1BZV;VOLKSBANK BAUTZEN EG
GENODEF1CAL;RAIFFEISENBANK EG CALDEN
GENODEF1CHA;RAIFFEISENBANK CHAMER LAND EG
GENODEF1CH1;VOLKSBANK CHEMNITZ EG
GENODEF1CLP;VR-BANK IN SUEDOLDENBURG EG
GENODEF1CLZ;VOLKSBANK CLENZE-HITZACKER EG
GENODEF1COP;VOLKSBANK IM WESERTAL EG
GENODEF1COS;VR-BANK COBURG EG
GENODEF1DAB;VOLKSBANK BLECKEDE-DAHLENBURG EG
GENODEF1DAM;VOLKSBANK DAMMER BERGE EG
GENODEF1DBR;RAIFFEISENBANK BAD DOBERAN EG
GENODEF1DCA;VOLKSBANK RAIFFEISENBANK DACHAU EG
GENODEF1DEG;RAIFFEISENBANK DEGGENDORF-PLATTLING-SONNENWALD
GENODEF1DES;VOLKS- UND RAIFFEISENBANK LEINEBERGLAND
GENODEF1DFK;RAIFFEISENBANK ASCHBERG EG
GENODEF1DGF;VOLKSBANK-RAIFFEISENBANK DINGOLFING EG
GENODEF1DGV;VR GENOBANK DONAUWALD
GENODEF1DIB;RAIFFEISENBANK BAUMGARTEN-NOEHAM EG
GENODEF1DIH;RAIFFEISENBANK DIETENHOFEN EG
GENODEF1DIK;VR BANK DINKLAGE-STEINFELD EG
GENODEF1DIM;RAIFFEISENBANK DIETERSHEIM UND UMGEBUNG EG
GENODEF1DKV;VR-BANK FEUCHTWANGEN-DINKELSBUEHL EG
GENODEF1DLG;RAIFFEISEN-VOLKSBANK DILLINGEN EG
GENODEF1DL1;VR-BANK MITTELSACHSEN EG
GENODEF1DM1;VOLKSBANK DEMMIN EG
GENODEF1DON;RAIFFEISEN-VOLKSBANK DONAUWOERTH EG
GENODEF1DRA;VR-BANK IN SUEDNIEDERSACHSEN EG
GENODEF1DRO;VOLKSBANK KEHDINGEN EG
GENODEF1DRP;EMSLAENDISCHE VOLKSBANK EG MEPPEN
GENODEF1DRS;VOLKSBANK DRESDEN-BAUTZEN
GENODEF1DSB;RAIFFEISENBANK UEHLFELD-DACHSBACH EG
GENODEF1DSS;VR-BANK LANDSBERG-AMMERSEE EG
GENODEF1DST;RAIFFEISENBANK OBERPFALZ SUED EG
GENODEF1DS1;VOLKSBANK DESSAU-ANHALT EG
GENODEF1DTA;RAIFFEISENBANK IM ALLGAUER LAND EG
GENODEF1DTL;VOLKSBANK WILDESHAUSER GEEST EG
GENODEF1DTT;RAIFFEISEN-VOLKSBANK EG
GENODEF1DTZ;RAIFFEISENBANK TOELZER LAND EG
GENODEF1DUD;VR-BANK MITTE EG
GENODEF1DVR;DITHMARSCHER VOLKS- UND RAIFFEISENBANK EG
GENODEF1DZ1;VOLKSBANK DELITZSCH EG
GENODEF1EAU;RAIFFEISENBANK ELSAVATAL EG
GENODEF1EBG;VOLKSBANK MITTELHESSEN EG
GENODEF1EBR;RAIFFEISENBANK-VOLKSBANK EBERN EG
GENODEF1EBV;RAIFFEISENBANK BUCH-ECHING EG
GENODEF1EDE;VOLKSBANK OLDENBURG EG
GENODEF1EDF;RAIFFEISENBANK SULZBACH-ROSENBERG EG SITZ SULZBACH-ROSENBERG
GENODEF1EDR;RAIFFEISENBANK ERDING EG
GENODEF1EDV;VR-BANK ERDING EG
GENODEF1EFD;RAIFFEISENBANK ESTENFELD-BERGTHEIM EG SITZ ESTENFELD
GENODEF1EFO;ECKERNFOERDER BANK EG VOLKSBANK RAIFFEISENBANK
GENODEF1EF2;ERFURTER BANK EG RAIFFEISENBANK
GENODEF1EGB;RAIFFEISENBANK BAISWEIL-EGGENTHAL-FRIESENRIED
GENODEF1EGR;ROTTALER VOLKSBANK-RAIFFEISENBANK EG
GENODEF1EIL;VOLKS- UND RAIFFEISENBANK EISLEBEN EG
GENODEF1EIN;VOLKSBANK EINBECK EG
GENODEF1EIR;RAIFFEISENBANK EICHSTAETT EG
GENODEF1EK1;EVANGELISCHE BANK EG
GENODEF1ELB;RAIFFEISENBANK NORDKREIS LANDSBERG EG
GENODEF1ELM;VR BANK IN HOLSTEIN EG
GENODEF1EMK;VOLKSBANK EMSTEK EG
GENODEF1ENA;RAIFFEISENBANK ESSENBACH EG
GENODEF1ENB;RAIFFEISENBANK EICHENBUEHL UND UMGEBUNG EG
GENODEF1ERG;RAIFFEISENBANK ALTDORF - ERGOLDING EG SITZ:ERGOLDING
GENODEF1ERN;RAIFFEISENBANK FRAENKISCHES WEINLAND EG
GENODEF1ER1;VR-BANK ERLANGEN-HOECHSTADT-HERZOGENAURACH EG
GENODEF1ESA;VR-BANK EISENACH-RONSHAUSEN
GENODEF1ESE;VOLKSBANK ESENS EG
GENODEF1ESN;VOLKSBANK EISENBERG EG
GENODEF1ESO;VOLKSBANK ESSEN-CAPPELN EG
GENODEF1ESW;VR-BANK MITTE EG
GENODEF1ETB;RAIFFEISENBANK EMTMANNSBERG EG
GENODEF1ETK;ETHIKBANK EG, ZWEIGNIEDERLASSUNG DER VOLKSBANK EISENBERG EG
GENODEF1EUB;VOLKSBANK UELZEN-SALZWEDEL EG
GENODEF1EUR;RAIFFEISENBANK BEUERBERG-EURASBURG EG
GENODEF1EUT;VOLKSBANK EUTIN RAIFFEISENBANK EG
GENODEF1EWG;VOLKSBANK ESTERWEGEN EG
GENODEF1EW1;VOLKSBANK EBERSWALDE EG
GENODEF1FBK;FRANKENBERGER BANK, RAIFFEISENBANK EG
GENODEF1FCH;RAIFFEISENBANK FUCHSTAL-DENKLINGEN EG
GENODEF1FEC;RAIFFEISENBANK ALTDORF-FEUCHT EG
GENODEF1FEH;VOLKSBANK OSTHOLSTEIN NORD EG
GENODEF1FEW;VR-BANK FEUCHTWANGEN-DINKELSBUEHL EG
GENODEF1FFB;VOLKSBANK RAIFFEISENBANK FUERSTENFELDBRUCK EG
GENODEF1FKS;RAIFFEISENBANK FALKENSTEIN-WOERTH EG
GENODEF1FLN;RAIFFEISENBANK IM FULDAER LAND EG
GENODEF1FLO;VOLKSBANK MITTLERES ERZGEBIRGE EG
GENODEF1FLS;RAIFFEISENBANK FLOSS EG
GENODEF1FOH;VR BANK BAMBERG-FORCHHEIM EG VOLKS-RAIFFEISENBANK
GENODEF1FOK;RAIFFEISENBANK OBERES KESSELTAL EG
GENODEF1FOR;VOLKSBANK-RAIFFEISENBANK FORST EG
GENODEF1FOY;SPAR- UND DARLEHNSKASSE EG
GENODEF1FRB;VOLKSBANK EG
GENODEF1FRD;RAIFFEISENBANK HIRSCHAU EG
GENODEF1FSR;FREISINGER BANK EG VOLKSBANK-RAIFFEISENBANK
GENODEF1FUE;RAIFFEISEN-VOLKSBANK FUERTH EG
GENODEF1FWA;VR BANK LAUSITZ EG
GENODEF1FWH;RAIFFEISENBANK FRANKENWINHEIM UND UMGEBUNG EG
GENODEF1FW1;VOLKS- U. RAIFFEISENBANK FUERSTENWALDE SEELOW WR
GENODEF1FYS;RAIFFEISEN - MEINE BANK EG
GENODEF1GAA;RAIFFEISENBANK MUENCHEN-SUED EG-GAA
GENODEF1GAH;RAIFFEISENBANK IM DONAUTAL EG
GENODEF1GAP;VR-BANK WERDENFELS EG
GENODEF1GA1;VOLKSBANK EG GARDELEGEN
GENODEF1GBF;VEREINIGTE RAIFFEISENBANKEN GRAEFENBERG-FORCHHEIM-ESCHENAU-HEROLDSBERG
GENODEF1GBH;VOLKSBANK BOOKHOLZBERG-LEMWERDER EG
GENODEF1GC1;VOLKSBANK-RAIFFEISENBANK GLAUCHAU EG
GENODEF1GDB;RAIFFEISEN-VOLKSBANK EG GADEBUSCH
GENODEF1GDG;RAIFFEISENBANK GREDING-THALMAESSING EG
GENODEF1GEM;RAIFFEISENBANK MAIN-SPESSART EG
GENODEF1GEV;GERAER BANK EG
GENODEF1GEZ;VOLKSBANK VOGTLAND EG
GENODEF1GFS;RAIFFEISENBANK GEFREES EG
GENODEF1GFV;VOLKSBANK GIFHORN EG
GENODEF1GIL;RAIFFEISENBANK GILCHING EG
GENODEF1GKT;RAIFFEISENBANK TATTENHAUSEN-GROSSKAROLINENFEL
GENODEF1GLE;RAIFFEISENBANK GARTETAL EG
GENODEF1GLU;RAIFFEISENBANK IM FULDAER LAND EG
GENODEF1GMD;SPAR- UND KREDIT-BANK EG
GENODEF1GMR;RAIFFEISENBANK GRIMMA EG
GENODEF1GMU;RAIFFEISENBANK GMUND AM TEGERNSEE EG
GENODEF1GMV;VR-BANK MULDENTAL EG
GENODEF1GNA;VOLKSBANK EG OSTERHOLZ-SCHARMBECK
GENODEF1GOE;VOLKSBANK GOETTINGEN EG
GENODEF1GPF;RAIFFEISENBANK GEISELHOERING-PFAFFENBERG EG
GENODEF1GRR;VR-BANK IN SUEDOLDENBURG EG
GENODEF1GRS;RAIFFEISENBANK SUEDSTORMARN MOELLN EG
GENODEF1GRT;RAIFFEISENBANK GRAINET EG
GENODEF1GRW;RAIFFEISENBANK GRAFENWOEHR-KIRCHENTHUMBACH EG
GENODEF1GR1;VOLKSBANK RAIFFEISENBANK NIEDERSCHLESIEN EG
GENODEF1GSB;RAIFFEISENBANK GEROLSBACH EG
GENODEF1GSC;VOLKSBANK EG DELMENHORST SCHIERBROK
GENODEF1GSH;RAIFFEISENBANK GEISENHAUSEN EG
GENODEF1GSW;RAIFFEISENBANK GROSSAITINGEN-WEHRINGEN EG
GENODEF1GTH;RAIFFEISENBANK GOTHA EG
GENODEF1GUB;VR-BANK CHATTENGAU EG
GENODEF1GUE;VOLKS- UND RAIFFEISENBANK EG
GENODEF1GU1;RAIFFEISENBANK WEISSENBURG-GUNZENHAUSEN EG
GENODEF1GZA;RAIFFEISENBANK GERZEN-AHAM EG
GENODEF1GZH;VR-BANK GEROLZHOFEN EG
GENODEF1GZ1;VOLKSBANK GUENZBURG EG
GENODEF1GZ2;VR-BANK DONAU-MINDEL EG
GENODEF1HAA;SPAR- UND KREDITBANK EG
GENODEF1HAB;VR-BANK BAD KISSINGEN EG
GENODEF1HAC;RAIFFEISEN-VOLKSBANK ASCHAFFENBURG EG
GENODEF1HAL;VOLKSBANK HALLE (SAALE) EG
GENODEF1HAR;VOLKSBANK HAREN EG
GENODEF1HAS;RAIFFEISEN-VOLKSBANK HASSBERGE EG
GENODEF1HAT;VR BANK OLDENBURG LAND WEST EG
GENODEF1HBG;RAIFFEISENBANK HOECHBERG EG
GENODEF1HBV;VOLKSBANK EG BREMERHAVEN-WESERMUENDE
GENODEF1HBW;RAIFFEISENBANK HENGERSBERG-SCHOELLNACH EG
GENODEF1HB1;BREMISCHE VOLKSBANK EG
GENODEF1HB2;VOLKSBANK BREMEN-NORD EG
GENODEF1HDG;VOLKSBANK SOLLING EG
GENODEF1HDW;RAIFFEISENBANK EG
GENODEF1HEE;HEEDER VOLKSBANK EG
GENODEF1HEM;RAIFFEISENBANK IM OBERPFAELZER JURA EG
GENODEF1HFA;RAIFFEISENBANK EG
GENODEF1HFG;RAIFFEISENBANK GRIESSTAETT-HALFING EG
GENODEF1HGA;RAIFFEISENBANK ALTEGLOFSHEIM-HAGELSTADT EG
GENODEF1HGF;RAIFFEISENBANK HUGLFING EG
GENODEF1HGH;RAIFFEISENBANK HILDBURGHAUSEN EG
GENODEF1HGM;VOLKSBANK GMHUETTE-HAGEN-BISSENDORF EG (GHB)
GENODEF1HHK;RAIFFEISENBANK HEHENKIRCH UND UMGEBUNG EG
GENODEF1HHS;RAIFFEISENBANK ISAR-LOISACHTAL EG
GENODEF1HHU;RAIFFEISENBANK HOHENAU-MAUTH EG
GENODEF1HH1;VOLKSBANK HAMBURG OST-WEST
GENODEF1HH2;HAMBURGER VOLKSBANK EG
GENODEF1HH3;VOLKSBANK RAIFFEISENBANK EG
GENODEF1HH4;VOLKSBANK RAIFFEISENBANK EG
GENODEF1HID;RAIFFEISENBANK EG
GENODEF1HIG;VR-BANK MITTE EG
GENODEF1HIH;VOLKSBANK HILDESHEIM EG
GENODEF1HIS;RAIFFEISENBANK FRAENKISCHE SCHWEIZ EG
GENODEF1HKB;VOLKSBANK HANKENSBUETTEL-WAHRENHOLZ EG
GENODEF1HLN;VOLKSBANK HASELUENNE EG
GENODEF1HLU;VOLKSBANK LUEBECK EG
GENODEF1HMA;RAIFFEISENBANK HAAG-GARS-MAITENBETH EG
GENODEF1HMF;RAIFFEISENBANK-VOLKSBANK HERMSDORFER KREUZ EG
GENODEF1HMN;VOLKSBANK SUEDHEIDE - ISENHAGENER LAND - ALTMARK
GENODEF1HMP;VOLKSBANK HAMELN-STADTHAGEN EG
GENODEF1HMS;VOLKSBANK HELMSTEDT EG
GENODEF1HMV;VOLKSBANK WESERBERGLAND EG
GENODEF1HNT;RAIFFEISENBANK HAUNETAL EG
GENODEF1HOB;RAIFFEISENBANK HEROLDSBACH EG
GENODEF1HOO;VOLKSBANK NIEDERGRAFSCHAFT EG
GENODEF1HOY;VOLKSBANK ALLER-WESER EG
GENODEF1HO1;VR BANK BAYREUTH-HOF EG
GENODEF1HPH;RAIFFEISENBANK HOPFERAU-HOPFEN EG
GENODEF1HPN;RAIFFEISEN - MEINE BANK EG
GENODEF1HPS;VOLKSBANK WILDESHAUSER GEEST EG
GENODEF1HRV;VR PARTNERBANK CHATTENGAU-SCHWALM-EDER
GENODEF1HR1;ROSTOCKER VOLKS-UND RAIFFEISENBANK EG
GENODEF1HSB;RAIFFEISENBANK HERSBRUCK EG
GENODEF1HSC;RAIFFEISENBANK HIRSCHAU EG
GENODEF1HSE;RAIFFEISENBANK SEEBACHGRUND EG
GENODEF1HST;POMMERSCHE VOBA EG
GENODEF1HTE;RAIFFEISENBANK ELBMARSCH EG
GENODEF1HTF;RAIFFEISENBANK HILTENFINGEN EG
GENODEF1HTL;RAIFFEISENBANK EG
GENODEF1HTR;VOLKSBANK EG BAD LAER-BORGLOH-HILTER-MELLE
GENODEF1HUA;RAIFFEISENBANK SINGOLDTAL EG
GENODEF1HUD;VEREINIGTE VOLKSBANK EG
GENODEF1HUE;VR-BANK NORDRHOEN EG
GENODEF1HUG;RAIFFEISENBANK HARBURG EG
GENODEF1HUM;VR BANK WESTKUESTE EG
GENODEF1HUV;VOLKSBANK RAIFFEISENBANK HANAU EG
GENODEF1HWA;RAIFFEISENBANK FRAENKISCHE SCHWEIZ EG
GENODEF1HWG;RAIFFEISENBANK HALDENWANG EG
GENODEF1HWI;VOLKS-U RB WISMAR EG
GENODEF1HWR;RAIFFEISENBANK EG WISMAR
GENODEF1HWS;RAIFFEISENBANK EG ITZEHOE
GENODEF1HWV;VOLKS- UND RAIFFEISENBANK (EHM VB) EG
GENODEF1HZH;RAIFFEISENBANK ASCHBERG EG
GENODEF1HZM;RAIFFEISENBANK RAIN AM LECH EG
GENODEF1HZN;RAIFFEISENBANK SUEDL. BAYERISCHER WALD EG
GENODEF1HZO;RAIFFEISENBANK HOLZKIRCHEN-OTTERFING EG
GENODEF1HZR;RAIFFEISENBANK HOLZHEIM EG
GENODEF1ICH;RAIFFEISENBANK ICHENHAUSEN EG
GENODEF1IMV;VOLKSBANK IMMENSTADT EG
GENODEF1INP;VOLKSBANK RAIFFEISENBANK BAYERN MITTE EG
GENODEF1INZ;RAIFFEISENBANK INZELL EG
GENODEF1ISE;VR-BANK ERDING
GENODEF1ISV;VR-BANK ISMANING HALLBERGMOOS NEUFAHRN EG
